szemaz	nev
568	Kállai Ferenc
569	Kállai Kiss Ernő
546	Kallós Zoltán
570	Kálmán György
571	Kálmán György
547	Kalmár László
548	Kalmár László
549	Kalmár Magda
550	Kampis Miklós
572	Kántás Károly
573	Kántor Sándor
574	Kányádi Sándor
551	Kapoli Antal
552	Kapus Gyula
553	Kapuváry Jenő
554	Karácsonyi Béla
555	Karátson Gábor
556	Kardos László
557	Kardos László
558	Kardos Tibor
559	Karinthy Ferenc
575	Kárpáti Aurél
560	Kaspár Adolf
561	Kass János
562	Kassai Ilona
563	Kassák Lajos
564	Kaszapovics András
565	Kazimir Károly
566	Kazinczi László
576	Keilwert Vilmos
577	Kelen Péter
578	Keleti Márton
579	Kemenesy Ernő
580	Kemény Gábor
581	Kemény Henrik
582	Kemény Imre
583	Kende János
584	Kenessey Jenő
585	Kerekes András
586	Kerényi Imre
587	Kerényi Jenő
588	Kerényi József
1412	Kerényi Miklós Gábor
589	Keres Emil
597	Kéri Lajos
1390	Kern András
590	Kerpel-Fronius Ödön
591	Kertai György
1413	Kertész Ákos
592	Kertész András
593	Kertész Imre
594	Kertész István
595	Keserü Ilona
596	Keveházi Gábor
1391	Kévés György
598	Kincses Veronika
599	Király István
600	Király József
601	Király Levente
602	Kirchner Tóbiás
603	Kis József
604	Kisfaludi Strobl Zsigmond
605	Kiskunfélegyházi Gépszövetkezet
606	Kiss Árpád
607	Kiss Árpád
608	Kiss Ferenc
609	Kiss István
610	Kiss István
611	Kiss István
1414	Kiss János
612	Kiss Lajos
613	Kiss László
614	Kiss Manyi
615	Kiss Nagy András
616	Kiss Nagy József
617	Kiss Tamás
618	Kiszlinger József
619	Klaniczay Tibor
620	Klausz József
621	Kmetty János
622	Kniezsa István
623	Knoll István
624	Koch Sándor
625	Kocsár Miklós
626	Kocsis András
627	Kocsis Pál
628	Kocsis Zoltán
629	Kodály Zoltán
630	Kodolányi János
631	Kohán György
632	Kokas Ignác
633	Kolbai Károly
634	Kollányi Ágoston
635	Kolláth László
636	Kollonits János
637	Kolozsvári Grandpierre Emil
638	Koltai Lajos
639	Koltay György
640	Komlós Péter
641	Komlóssy Erzsébet
642	Komor Vilmos
643	Kompolthy Tivadar
644	Koncz Gábor
1415	Koncz Zsuzsa
645	Kondor Béla
646	Konecsni György
647	Konok Tamás
648	Konrád György
677	Kónya Lajos
649	Koós Iván
650	Korach Mór
651	Korányi Imre
652	Korbuly János
653	Korniss Péter
678	Kórody András
1392	Kósa Ferenc
654	Koszta József
679	Kóta József
655	Kotlán Sándor
656	Kovács Alajos
657	Kovács András
658	Kovács Béla
659	Kovács Dénes
660	Kovács Dezsőné
661	Kovács Endre
662	Kovács István
663	Kovács János
664	Kovács János
665	Kovács János Építőbrigád
666	Kovács József
667	Kovács K. Pál
668	Kovács László
669	Kovács László
670	Kovács Margit
671	Kovács Nóra
1416	Kovács Péter
672	Kovácsházi Ernő
673	Kováts Ferenc
674	Kováts Kolos
675	Kozák András
676	Kozma László
682	Kő Pál
683	Kőhalmi Béla
684	Kőnig Rezső
680	Körmendi János
681	Körner József
685	Krasznahorkai László
686	Kreybig Lajos
687	Kuczka Péter
688	Kugler Lajos
689	Kulin László
690	Kulka János
691	Kun Zsuzsa
692	Kund Ede
693	Kurtág György
694	Kurucz D. István
695	Kutasy Lajos
1417	Kútvölgyi Erzsébet
696	Labanc Mihály
697	Ladányi Ferenc
698	Lajtha László
699	Lakatos Albert
700	Lakatos Gabriella
701	Lakatos István
702	Laki Kálmán
703	Lakner László
708	László Antal
709	Lászlóffy Aladár
704	Latabár Kálmán
705	Latinovits Zoltán
706	Lator László
710	Lázár Antal
711	Lázár Barnabás
712	Lázár Ervin
713	Lázár Kati
707	Laziczius Gyula
714	Lehel György
715	Lehoczky Zsuzsa
716	Lehr Ferenc
717	Lehrbaum Ferenc
718	Lendvay Kamilló
722	Léner Péter
719	Lengyel Béla
720	Lengyel József
721	Lengyel Lajos
723	Lévai András
1393	Ligeti András
724	Ligeti György
725	Ligeti Lajos
726	Lipovetz Iván
727	Lipták János
728	Lipták Pál
729	Liska József
730	Lissák Kálmán
731	Liszony Béla
732	Littmann Imre
733	Litvin József
734	Lokker Antal
735	Losonczi Pál
736	Losonczy György
737	Lossonczy Tamás
738	Lovas Lajos
739	Loy Árpád
740	Lőcsei János
741	Lőrinczy Endre
742	Ludmann László
743	Lugosi Ferenc
744	Lukács Ervin
1418	Lukács Gyöngyi
745	Lukács György
746	Lukács József
747	Lukács Margit
748	Lukács Miklós
749	Lukács Pál
750	Lukáts Andorszínművész
751	Lux László
752	Lükő Gábor
753	Lyka Károly
754	Machovits István
755	Macsali Sándor
756	Madaras József
788	Mádi Szabó Gábor
757	Magyar Ilona
758	Major Máté
759	Major Tamás
760	Makk Károly
761	Makláry Zoltán
762	Makoldi Mihályné
763	Makovecz Imre
764	Makrisz Agamemnon
765	Maleczky Oszkár
789	Mándi Andor
766	Mandula Ferenc
790	Mándy Iván
767	Manninger Gusztáv Adolf
768	Manninger Rezső
791	Márai Sándor
769	Marek József
770	Margóczi István
792	Máriássy Félix
793	Márk János
794	Márk Tivadar
795	Márki Lajos
771	Markó Iván
796	Márkus László
772	Marót Károly
773	Maróti Lajos
774	Marsall László
775	Martini Károly
776	Marton Endre
777	Marton Éva
778	Marton Géza
779	Marton László
780	Marton László
781	Martyn Ferenc
782	Marx György
797	Máthé Erzsi
798	Máthé Imre
1419	Máthé Tibor
783	Matolcsy Kálmán
799	Mátrai Gyula
800	Mátyás Mária
784	Mattyasovszky-Zsolnai László
785	Maucha Rezső
786	Maurer Dóra
787	Mayer Károly
801	Medgyaszay Vilma
802	Medgyessy Ferenc
803	Medve Ferenc
804	Megyeri Endréné
805	Megyik János
815	Méhes György
816	Méhes János
806	Mekis József
807	Melczer Miklós
808	Meleg János
809	Melis György
